md5,Arch,ByteOrder,Machine,VT_score,label
0001404daf71feea98e26130a49bd23b,32 bit,Little endian,MIPS R3000,39,Gaygyt/BASHLITE (2014)
0002a328c42751880bbdd991d6c393e4,32 bit,Little endian,i386,38,Gaygyt/BASHLITE (2014)
00031a7ac7673209f66c1b6debbd7e88,32 bit,Little endian,i386,36,Mirai (2016)
0003ae1648c2b8e37514132cfd6a75e5,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0003d90a31eb72caf045ea7f622d4dc5,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
00055004adec2bc0684c1ba3cf23088e,32 bit,Little endian,i386,29,Mirai (2016)
0007c9cd8dc74704feba9d33c883b806,32 bit,Little endian,SuperH,35,Gaygyt/BASHLITE (2014)
0007fda5f5143330d9eec332bf7c2319,32 bit,Little endian,SuperH,41,Gaygyt/BASHLITE (2014)
00090e8e416ab5af13597468dff2a07e,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
00096cc8c58b5634b9f0ca8d9b4da0dc,32 bit,Little endian,i386,39,Mirai (2016)
000b03f032c9f448af54c743e9c019a8,32 bit,Little endian,i386,40,Gaygyt/BASHLITE (2014)
001627d61a1bde3478ca4965e738dc1e,32 bit,Little endian,ARM,41,Mirai (2016)
00169f55ba026aacd4fa16fb2034cc7a,32 bit,Little endian,ARM,39,Mirai (2016)
0018ecbb995d785145963b2ff77ede33,32 bit,Little endian,ARM,36,Mirai (2016)
0019b79d3c9a564a40fb3e97ae4bec5d,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
001a642f63b894ae67e65160ceb158d7,32 bit,Little endian,ARM,42,Gaygyt/BASHLITE (2014)
001cb3423c30a9827c4258895acbdb81,32 bit,Little endian,i386,43,Gaygyt/BASHLITE (2014)
001cf2e6805e9b27c576f5a8c13f1479,32 bit,Big endian,SPARC,34,Gaygyt/BASHLITE (2014)
0020ec39190962058ef8ab2b69e2c0e6,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0027904fdd05962437ebfc47baa504e1,32 bit,Big endian,MIPS R3000,39,Gaygyt/BASHLITE (2014)
0027bb20f4c9bc21a00eb4c16d48275b,32 bit,Little endian,ARM,39,Mirai (2016)
